Date,SENT
11/19/16,0.285714286
11/22/16,0.2
11/23/16,0.5
11/27/16,0
12/1/16,0
12/7/16,1
12/8/16,1
12/9/16,0
12/11/16,0.5
12/17/16,-0.8
12/18/16,0
12/21/16,0
12/22/16,1
12/23/16,0.666666667
12/24/16,0.266666667
12/30/16,0
12/31/16,0.25
1/5/17,-1
1/6/17,0
1/7/17,1
1/8/17,0.666666667
1/10/17,0
1/11/17,0
1/12/17,0.625
1/14/17,0.5
1/15/17,0
1/16/17,0.333333333
1/18/17,0
1/19/17,0.25
1/21/17,0.666666667
1/22/17,0.25
1/23/17,1
1/24/17,1
1/25/17,0.285714286
1/27/17,1
1/28/17,-0.5
1/29/17,-0.333333333
1/30/17,1
1/31/17,-1
2/2/17,1
2/3/17,0
2/4/17,0.176470588
2/5/17,0.285714286
2/7/17,0.333333333
2/8/17,0
2/9/17,0
2/10/17,0.333333333
2/11/17,1
2/15/17,0.5
2/16/17,0.888888889
2/17/17,0.333333333
2/18/17,0
2/19/17,-0.25
2/23/17,1
2/24/17,1
2/25/17,0.333333333
2/27/17,0.5
2/28/17,0
3/2/17,1
3/6/17,0.25
3/10/17,0.666666667
3/11/17,1
3/12/17,0.7
3/13/17,1
3/14/17,0
3/16/17,1
3/22/17,-0.333333333
3/23/17,1
3/24/17,0.367346939
3/28/17,-0.375
3/29/17,0
3/30/17,1
3/31/17,0.7
4/1/17,-0.333333333
4/2/17,0
4/3/17,0
4/5/17,0
4/7/17,0.333333333
4/12/17,0.75
4/13/17,0.25
4/17/17,1
4/18/17,1
4/23/17,-0.5
4/24/17,0.666666667
4/27/17,-1
4/28/17,-0.75
5/1/17,0.166666667
5/4/17,1
5/5/17,0
5/7/17,1
5/9/17,0
5/10/17,0.6
5/11/17,0.5
5/12/17,-0.25
5/13/17,0.2
5/14/17,0.333333333
5/16/17,0
5/17/17,0
5/19/17,0.666666667
5/21/17,1
5/22/17,0.458333333
5/23/17,0.333333333
5/24/17,0.6
5/25/17,0.333333333
5/26/17,0.666666667
5/27/17,1
5/29/17,0.5
5/31/17,0.166666667
6/1/17,0.2
6/2/17,1
6/3/17,0
6/4/17,0.75
6/5/17,0.2
6/6/17,0.083333333
6/7/17,0.444444444
6/8/17,0.323529412
6/9/17,-0.041666667
6/10/17,1
6/11/17,1
6/13/17,0.75
6/14/17,1
6/16/17,0.25
6/17/17,0.666666667
6/18/17,0
6/19/17,-1
6/20/17,0.2
6/21/17,0
6/22/17,0.166666667
6/23/17,0.428571429
6/24/17,0
6/25/17,0.055555556
6/26/17,0
6/28/17,0
6/29/17,0.142857143
6/30/17,0.125
7/2/17,0.5
7/3/17,0.75
7/4/17,-1
7/5/17,1
7/6/17,1
7/7/17,0
7/8/17,-0.5
7/9/17,-0.2
7/11/17,0.461538462
7/12/17,1
7/13/17,0.666666667
7/14/17,0.692307692
7/15/17,0.5
7/17/17,-0.166666667
7/19/17,1
7/20/17,0.625
7/21/17,1
7/22/17,0.5
7/25/17,0.285714286
7/26/17,0
7/27/17,0
7/28/17,0
7/29/17,0.625
7/30/17,0
7/31/17,0.5
8/1/17,1
8/2/17,1
8/3/17,0
8/4/17,0
8/5/17,0.4
8/6/17,0.125
8/10/17,0
8/11/17,0.363636364
8/12/17,0.666666667
8/13/17,0
8/14/17,1
8/18/17,0
8/19/17,0.75
8/20/17,0.25
8/21/17,0.666666667
8/22/17,0
8/23/17,0.666666667
8/25/17,0.166666667
8/26/17,0.5
8/27/17,0.272727273
8/28/17,0.055555556
8/29/17,1
8/30/17,0.25
8/31/17,-0.2
9/4/17,-0.222222222
9/8/17,0
9/12/17,0.5
9/13/17,0.5
9/14/17,0.5
9/15/17,1
9/16/17,-0.25
9/19/17,1
9/20/17,1
9/24/17,1
9/25/17,0.666666667
9/26/17,0.75
9/27/17,0.5
9/28/17,0.666666667
9/29/17,0.285714286
10/2/17,0
10/4/17,0
10/5/17,0.625
10/6/17,0
10/7/17,-0.5
10/8/17,0.166666667
10/9/17,0
10/11/17,-1
10/12/17,0.333333333
10/14/17,0
10/15/17,1
10/16/17,1
10/18/17,-0.5
10/19/17,0.625
10/20/17,0.5
10/21/17,0.666666667
10/24/17,0.333333333
10/26/17,-0.75
10/28/17,0
11/7/17,0
11/8/17,0
11/9/17,-0.5
11/10/17,1
11/12/17,0.5
11/13/17,1
11/15/17,-0.5
11/17/17,0
11/19/17,1
11/20/17,1
11/21/17,1
11/23/17,1
11/24/17,0
11/25/17,1
11/26/17,0.666666667
11/27/17,0.5
11/28/17,-0.2
11/30/17,0.285714286
12/2/17,0.857142857
12/3/17,0.076923077
12/7/17,0
12/8/17,0.333333333
12/11/17,0
12/12/17,0
12/13/17,0
12/14/17,1
12/15/17,-0.8
12/16/17,0
12/17/17,0.666666667
12/19/17,1
12/20/17,0.142857143
12/21/17,0
12/23/17,0
12/24/17,0.571428571
12/25/17,0
12/26/17,0.666666667
12/27/17,0
1/3/18,1
1/5/18,0
1/7/18,0.5
1/8/18,0
1/9/18,0.5
1/12/18,1
1/13/18,1
1/15/18,0.5
1/18/18,0
1/24/18,1
1/27/18,1
1/28/18,0.733333333
1/29/18,0.25
1/30/18,0
1/31/18,0.571428571
2/1/18,0.333333333
2/2/18,0
2/3/18,0
2/4/18,0
2/5/18,0.222222222
2/6/18,0.153846154
2/7/18,0.8
2/11/18,0.666666667
2/12/18,0.142857143
2/16/18,-1
2/17/18,0
2/18/18,1
2/20/18,-1
2/21/18,0.4
2/22/18,0.153846154
2/24/18,1
2/25/18,0
2/27/18,0.5
2/28/18,0
3/3/18,-1
3/4/18,0.25
3/5/18,0
3/6/18,0.5
3/7/18,0.2
3/8/18,0.25
3/9/18,0.636363636
3/10/18,-0.5
3/11/18,0
3/12/18,1
3/14/18,0.333333333
3/15/18,0
3/18/18,1
3/19/18,0
3/20/18,0.5
3/21/18,-0.5
3/22/18,0.454545455
3/23/18,0.3
3/24/18,1
3/25/18,-0.5
3/26/18,0.375
3/27/18,0.666666667
3/28/18,0.75
3/30/18,-0.75
3/31/18,1
4/1/18,0.333333333
4/2/18,0.111111111
4/4/18,0.333333333
4/5/18,0.5
4/6/18,0.25
4/7/18,1
4/8/18,0.111111111
4/9/18,0.333333333
4/10/18,-0.5
4/11/18,0
4/12/18,1
4/13/18,-0.5
4/15/18,0
4/16/18,-0.5
4/17/18,0.333333333
4/18/18,0.666666667
4/23/18,0
4/25/18,0.25
4/26/18,0
4/27/18,1
4/28/18,0.5
4/30/18,0
5/1/18,1
5/2/18,0
5/3/18,1
5/4/18,0.294117647
5/5/18,0.454545455
5/6/18,0.714285714
5/7/18,-0.25
5/8/18,1
5/9/18,0.166666667
5/10/18,0.857142857
5/11/18,0.2
5/12/18,-0.25
5/13/18,0.666666667
5/14/18,-0.1
