Date,SENT
12/12/19,0
12/12/19,0
12/12/19,0
12/12/19,1
12/12/19,0
12/12/19,0
12/12/19,-1
12/12/19,0
12/12/19,0
12/12/19,1
12/12/19,1
12/12/19,1
12/12/19,0
12/12/19,1
12/12/19,1
12/13/19,1
12/13/19,0
12/13/19,0
12/13/19,1
12/13/19,0
12/14/19,1
12/14/19,1
12/14/19,0
12/14/19,0
12/14/19,1
12/17/19,1
12/17/19,0
12/17/19,0
12/18/19,1
12/18/19,1
12/18/19,1
12/18/19,-1
12/18/19,1
12/19/19,0
12/19/19,-1
12/19/19,0
12/19/19,1
12/19/19,1
12/19/19,0
12/19/19,0
12/19/19,1
12/20/19,0
12/20/19,1
12/20/19,1
12/20/19,0
12/20/19,1
12/21/19,1
12/21/19,1
12/21/19,1
12/21/19,1
12/21/19,1
12/21/19,1
12/21/19,1
12/21/19,0
12/21/19,1
12/21/19,0
12/22/19,1
12/22/19,1
12/22/19,1
12/22/19,1
12/22/19,1
12/22/19,0
12/22/19,0
12/22/19,-1
12/22/19,0
12/22/19,1
12/22/19,1
12/22/19,1
12/22/19,1
12/22/19,-1
12/22/19,1
12/22/19,1
12/22/19,-1
12/22/19,1
12/22/19,1
12/22/19,-1
12/22/19,-1
12/22/19,-1
12/22/19,0
12/22/19,0
12/22/19,-1
12/22/19,0
12/22/19,-1
12/23/19,0
12/23/19,1
12/23/19,0
12/24/19,-1
12/24/19,0
12/24/19,0
12/24/19,1
12/24/19,1
12/24/19,1
12/24/19,1
12/26/19,1
12/26/19,0
12/26/19,1
12/26/19,1
12/26/19,1
12/26/19,0
12/26/19,-1
12/26/19,0
12/26/19,-1
12/26/19,0
12/26/19,-1
12/26/19,0
12/26/19,0
12/26/19,1
12/26/19,1
12/26/19,1
12/26/19,0
12/26/19,-1
12/26/19,-1
12/26/19,0
12/27/19,-1
12/27/19,-1
12/28/19,-1
12/28/19,-1
12/28/19,-1
12/28/19,-1
12/28/19,1
12/28/19,0
12/28/19,0
12/28/19,1
12/28/19,1
12/28/19,1
12/28/19,1
12/28/19,-1
12/28/19,-1
12/28/19,-1
12/28/19,0
12/28/19,1
12/28/19,1
12/28/19,1
12/28/19,1
12/29/19,0
12/29/19,1
12/29/19,1
12/29/19,0
12/29/19,1
12/29/19,1
12/29/19,-1
12/29/19,1
12/29/19,1
12/29/19,1
12/29/19,1
12/29/19,-1
12/29/19,1
12/29/19,-1
12/29/19,0
12/29/19,1
12/29/19,0
12/29/19,0
12/29/19,1
12/29/19,-1
12/29/19,0
12/29/19,1
12/29/19,0
12/29/19,1
12/30/19,1
12/30/19,0
12/30/19,-1
12/30/19,1
12/30/19,1
12/30/19,-1
12/30/19,1
12/30/19,0
12/30/19,0
12/30/19,1
12/30/19,0
12/30/19,-1
12/30/19,0
12/30/19,1
12/30/19,0
12/30/19,1
12/30/19,-1
12/30/19,-1
12/30/19,1
12/30/19,1
12/30/19,0
12/30/19,-1
12/30/19,1
12/30/19,1
12/30/19,-1
12/30/19,-1
12/30/19,1
12/30/19,1
12/30/19,1
12/30/19,0
12/30/19,-1
12/30/19,1
12/30/19,0
12/30/19,1
12/30/19,-1
12/30/19,1
12/30/19,0
12/30/19,1
12/30/19,0
12/30/19,-1
12/30/19,0
12/30/19,1
12/30/19,1
12/30/19,1
12/30/19,1
12/30/19,1
12/31/19,0
12/31/19,-1
12/31/19,0
12/31/19,1
1/1/20,1
1/1/20,-1
1/1/20,0
1/4/20,0
1/4/20,1
1/4/20,1
1/5/20,1
1/5/20,1
1/5/20,1
1/5/20,0
1/6/20,0
1/6/20,0
1/7/20,0
1/7/20,1
1/7/20,0
1/7/20,1
1/7/20,0
1/7/20,0
1/7/20,0
1/7/20,1
1/7/20,0
1/7/20,0
1/7/20,0
1/7/20,0
1/7/20,1
1/8/20,0
1/8/20,1
1/9/20,0
1/9/20,1
1/10/20,-1
1/10/20,1
1/10/20,-1
1/10/20,1
1/10/20,1
1/10/20,0
1/10/20,0
1/10/20,0
1/10/20,1
1/10/20,1
1/10/20,0
1/10/20,0
1/10/20,1
1/10/20,0
1/10/20,1
1/11/20,-1
1/11/20,0
1/11/20,-1
1/11/20,1
1/11/20,-1
1/11/20,1
1/12/20,0
1/12/20,0
1/12/20,0
1/12/20,0
1/12/20,-1
1/12/20,1
1/12/20,0
1/12/20,1
1/12/20,-1
1/12/20,1
1/13/20,1
1/14/20,1
1/14/20,0
1/14/20,-1
1/14/20,1
1/14/20,1
1/14/20,0
1/14/20,1
1/15/20,1
1/16/20,1
1/16/20,-1
1/16/20,-1
1/16/20,-1
1/16/20,-1
1/16/20,0
1/17/20,1
1/17/20,1
1/17/20,0
1/17/20,0
1/17/20,1
1/17/20,-1
1/17/20,0
1/17/20,1
1/17/20,0
1/17/20,1
1/17/20,1
1/17/20,1
1/17/20,1
1/17/20,1
1/17/20,0
1/17/20,0
1/17/20,0
1/17/20,0
1/17/20,0
1/17/20,0
1/18/20,1
1/18/20,0
1/18/20,0
1/19/20,1
1/19/20,-1
1/19/20,0
1/20/20,1
1/20/20,0
1/20/20,1
1/21/20,1
1/21/20,1
1/21/20,0
1/21/20,0
1/21/20,1
1/21/20,0
1/21/20,0
1/22/20,0
1/22/20,1
1/22/20,0
1/22/20,0
1/22/20,0
1/22/20,1
1/22/20,-1
1/22/20,1
1/22/20,1
1/22/20,1
1/22/20,1
1/23/20,1
1/23/20,1
1/23/20,1
1/23/20,0
1/23/20,1
1/23/20,1
1/23/20,1
1/24/20,0
1/24/20,0
1/25/20,0
1/25/20,-1
1/25/20,1
1/25/20,0
1/25/20,0
1/25/20,1
1/25/20,1
1/25/20,1
1/25/20,0
1/25/20,0
1/25/20,-1
1/26/20,1
1/26/20,0
1/27/20,0
1/27/20,1
1/27/20,-1
1/28/20,0
1/28/20,0
1/28/20,0
1/28/20,0
1/28/20,1
1/29/20,1
1/29/20,-1
1/29/20,1
1/29/20,1
1/29/20,1
1/29/20,0
1/29/20,0
1/29/20,1
1/29/20,0
1/29/20,1
1/30/20,0
1/30/20,-1
1/30/20,-1
1/30/20,0
1/30/20,0
1/31/20,0
1/31/20,1
1/31/20,1
1/31/20,0
1/31/20,-1
1/31/20,0
1/31/20,0
1/31/20,0
1/31/20,0
1/31/20,0
1/31/20,0
1/31/20,-1
1/31/20,-1
1/31/20,1
1/31/20,1
1/31/20,0
1/31/20,0
2/1/20,-1
2/1/20,-1
2/1/20,-1
2/1/20,1
2/1/20,0
2/1/20,1
2/1/20,-1
2/2/20,1
2/2/20,1
2/2/20,1
2/2/20,1
2/2/20,1
2/2/20,1
2/2/20,1
2/2/20,1
2/2/20,-1
2/2/20,-1
2/2/20,0
2/2/20,1
2/2/20,-1
2/2/20,-1
2/3/20,1
2/3/20,1
2/3/20,0
2/3/20,1
2/3/20,1
2/3/20,-1
2/3/20,-1
2/3/20,1
2/3/20,1
2/3/20,0
2/3/20,0
2/3/20,1
2/3/20,0
2/3/20,0
2/3/20,1
2/3/20,-1
2/4/20,0
2/4/20,1
2/4/20,0
2/4/20,1
2/5/20,1
2/5/20,0
2/5/20,1
2/5/20,0
2/5/20,1
2/5/20,0
2/5/20,1
2/5/20,1
2/5/20,0
2/5/20,0
2/6/20,1
2/6/20,0
2/6/20,0
2/6/20,1
2/6/20,1
2/6/20,1
2/6/20,0
2/6/20,0
2/6/20,0
2/6/20,1
2/6/20,0
2/6/20,1
2/6/20,1
2/6/20,1
2/6/20,0
2/6/20,0
2/6/20,0
2/6/20,0
2/6/20,1
2/6/20,0
2/6/20,0
2/6/20,-1
2/6/20,0
2/6/20,0
2/6/20,0
2/7/20,1
2/7/20,1
2/7/20,1
2/7/20,1
2/7/20,1
2/7/20,1
2/7/20,1
2/8/20,0
2/8/20,1
2/8/20,-1
2/8/20,1
2/8/20,0
2/8/20,0
2/8/20,1
2/8/20,0
2/8/20,1
2/8/20,0
2/8/20,1
2/9/20,0
2/9/20,1
2/9/20,0
2/9/20,0
2/9/20,0
2/10/20,-1
2/10/20,0
2/10/20,1
2/10/20,0
2/10/20,1
2/10/20,0
2/10/20,1
2/10/20,1
2/10/20,-1
2/10/20,0
2/10/20,1
2/10/20,1
2/10/20,1
2/10/20,1
2/10/20,0
2/10/20,1
2/10/20,1
2/10/20,1
2/10/20,0
2/10/20,0
2/10/20,0
2/12/20,0
2/12/20,0
2/12/20,1
2/12/20,0
2/12/20,1
2/12/20,1
2/13/20,-1
2/13/20,-1
2/14/20,0
2/14/20,1
2/14/20,0
2/14/20,1
2/14/20,0
2/14/20,0
2/14/20,1
2/14/20,0
2/15/20,0
2/15/20,-1
2/15/20,1
2/15/20,-1
2/15/20,1
2/15/20,1
2/15/20,0
2/15/20,-1
2/15/20,1
2/15/20,1
2/15/20,1
2/15/20,1
2/15/20,0
2/15/20,1
2/15/20,1
2/15/20,1
2/15/20,0
2/15/20,0
2/15/20,0
2/16/20,1
2/16/20,0
2/16/20,-1
2/17/20,0
2/17/20,1
2/17/20,1
2/17/20,0
2/18/20,1
2/18/20,0
2/18/20,0
2/18/20,1
2/18/20,0
2/19/20,1
2/19/20,0
2/19/20,0
2/19/20,0
2/19/20,1
2/19/20,1
2/20/20,1
2/20/20,0
2/20/20,-1
2/20/20,0
2/20/20,1
2/20/20,-1
2/20/20,0
2/20/20,0
2/20/20,0
2/20/20,0
2/20/20,1
2/20/20,1
2/20/20,0
2/20/20,0
2/20/20,0
2/20/20,1
2/21/20,0
2/21/20,1
2/21/20,0
2/21/20,0
2/22/20,1
2/22/20,0
2/22/20,1
2/22/20,1
2/22/20,1
2/25/20,0
2/25/20,1
2/25/20,-1
2/25/20,1
2/25/20,0
2/25/20,0
2/25/20,1
2/25/20,0
2/25/20,0
2/25/20,-1
2/25/20,0
2/25/20,0
2/25/20,0
2/25/20,1
2/26/20,0
2/26/20,1
2/26/20,1
2/26/20,1
2/26/20,1
2/26/20,1
2/26/20,0
2/26/20,1
2/26/20,1
2/27/20,0
2/27/20,1
2/28/20,1
2/28/20,0
3/2/20,1
3/2/20,0
3/2/20,1
3/2/20,0
3/2/20,0
3/2/20,1
3/2/20,0
3/2/20,1
3/2/20,0
3/2/20,0
3/3/20,0
3/3/20,0
3/3/20,-1
3/3/20,0
3/3/20,1
3/3/20,0
3/3/20,0
3/3/20,1
3/3/20,1
3/3/20,1
3/4/20,-1
3/4/20,0
3/4/20,1
3/4/20,1
3/4/20,1
3/5/20,0
3/6/20,-1
3/7/20,1
3/7/20,0
3/7/20,0
3/7/20,-1
3/7/20,0
3/7/20,0
3/8/20,0
3/8/20,0
3/8/20,1
3/8/20,-1
3/8/20,1
3/8/20,-1
3/8/20,1
3/8/20,1
3/9/20,0
3/9/20,0
3/9/20,-1
3/10/20,0
3/10/20,0
3/10/20,1
3/10/20,0
3/10/20,0
3/10/20,1
3/10/20,1
3/10/20,1
3/10/20,0
3/10/20,0
3/10/20,0
3/10/20,0
3/10/20,1
3/10/20,-1
3/10/20,-1
3/10/20,1
3/10/20,1
3/10/20,1
3/11/20,0
3/11/20,1
3/11/20,1
3/11/20,1
3/11/20,1
3/11/20,0
3/11/20,0
3/11/20,-1
3/11/20,-1
3/11/20,0
3/11/20,0
3/11/20,0
3/11/20,0
3/11/20,-1
3/11/20,1
3/11/20,1
3/11/20,1
3/11/20,0
3/11/20,0
3/11/20,0
3/12/20,1
3/14/20,-1
3/14/20,0
3/14/20,-1
3/14/20,1
3/14/20,0
3/14/20,1
3/14/20,0
3/14/20,1
3/14/20,1
3/14/20,1
3/14/20,0
3/15/20,-1
3/15/20,1
3/16/20,-1
3/16/20,1
3/16/20,0
3/16/20,0
3/16/20,1
3/16/20,1
3/16/20,1
3/16/20,0
3/16/20,1
3/17/20,0
3/17/20,0
3/17/20,1
3/17/20,1
3/17/20,1
3/17/20,0
3/17/20,-1
3/17/20,1
3/17/20,1
3/18/20,1
3/18/20,0
3/18/20,1
3/18/20,1
3/18/20,0
3/18/20,0
3/18/20,1
3/18/20,0
3/18/20,-1
3/18/20,-1
3/18/20,0
3/18/20,0
3/18/20,0
3/19/20,1
3/19/20,0
3/19/20,1
3/19/20,-1
3/19/20,0
3/19/20,-1
3/19/20,0
3/19/20,1
3/19/20,-1
3/19/20,1
3/19/20,1
3/19/20,1
3/19/20,1
3/19/20,-1
3/19/20,1
3/19/20,-1
3/19/20,0
3/19/20,1
3/19/20,0
3/19/20,1
3/19/20,0
3/19/20,0
3/20/20,1
3/20/20,1
3/20/20,1
3/20/20,-1
3/20/20,1
3/20/20,1
3/21/20,0
3/21/20,1
3/21/20,-1
3/21/20,0
3/21/20,0
3/21/20,1
3/21/20,-1
3/21/20,1
3/21/20,1
3/21/20,1
3/21/20,1
3/22/20,0
3/22/20,0
3/22/20,1
3/22/20,-1
3/22/20,-1
3/22/20,-1
3/23/20,1
3/23/20,0
3/23/20,0
3/23/20,1
3/23/20,0
3/23/20,1
3/23/20,1
3/23/20,1
3/23/20,-1
3/23/20,-1
3/23/20,0
3/23/20,-1
3/23/20,1
3/23/20,1
3/23/20,1
3/23/20,1
3/24/20,0
3/24/20,0
3/24/20,1
3/24/20,1
3/24/20,0
3/24/20,-1
3/24/20,0
3/24/20,-1
3/24/20,1
3/24/20,1
3/24/20,1
3/24/20,0
3/24/20,1
3/24/20,1
3/24/20,0
3/25/20,1
3/25/20,-1
3/25/20,1
3/25/20,1
3/25/20,1
3/26/20,1
3/26/20,1
3/26/20,1
3/26/20,0
3/26/20,0
3/26/20,1
3/26/20,0
3/26/20,0
3/26/20,0
3/27/20,1
3/27/20,1
3/27/20,0
3/27/20,1
3/27/20,0
3/27/20,0
3/27/20,-1
3/27/20,1
3/27/20,0
3/27/20,0
3/27/20,0
3/28/20,-1
3/28/20,1
3/28/20,0
3/30/20,1
3/30/20,0
3/30/20,1
3/30/20,0
3/30/20,0
3/30/20,1
3/30/20,0
3/30/20,0
3/30/20,0
3/31/20,1
3/31/20,-1
3/31/20,1
3/31/20,1
3/31/20,0
3/31/20,0
3/31/20,0
4/1/20,1
4/1/20,1
4/1/20,1
4/1/20,1
4/1/20,0
4/2/20,1
4/2/20,1
4/2/20,1
4/2/20,1
4/2/20,-1
4/2/20,-1
4/2/20,-1
4/2/20,-1
4/2/20,-1
4/2/20,0
4/2/20,0
4/3/20,0
4/3/20,0
4/3/20,1
4/3/20,1
4/3/20,1
4/3/20,1
4/3/20,1
4/3/20,1
4/3/20,1
4/3/20,-1
4/3/20,1
4/3/20,-1
4/3/20,1
4/3/20,1
4/3/20,-1
4/3/20,0
4/4/20,0
4/4/20,0
4/4/20,1
4/4/20,0
4/4/20,0
4/4/20,1
4/4/20,-1
4/4/20,-1
4/5/20,1
4/5/20,1
4/5/20,1
4/5/20,1
4/5/20,0
4/5/20,1
4/5/20,1
4/5/20,0
4/5/20,1
4/5/20,0
4/5/20,1
4/5/20,1
4/5/20,0
4/5/20,1
4/5/20,1
4/5/20,1
4/5/20,-1
4/5/20,-1
4/5/20,0
4/5/20,1
4/6/20,0
4/6/20,0
4/6/20,0
4/6/20,0
4/6/20,1
4/6/20,0
4/6/20,1
4/6/20,1
4/6/20,1
4/6/20,0
4/6/20,1
4/6/20,1
4/6/20,-1
4/7/20,1
4/7/20,0
4/7/20,1
4/7/20,0
4/7/20,1
4/7/20,0
4/7/20,1
4/7/20,1
4/7/20,0
4/7/20,0
4/7/20,0
4/8/20,0
4/8/20,0
4/8/20,1
4/8/20,0
4/8/20,1
4/8/20,1
4/8/20,0
4/8/20,-1
4/8/20,1
4/9/20,0
4/9/20,0
4/9/20,1
4/9/20,0
4/9/20,-1
4/9/20,0
4/9/20,1
4/9/20,-1
4/9/20,0
4/9/20,-1
4/10/20,-1
4/10/20,1
4/10/20,0
4/10/20,0
4/10/20,1
4/10/20,0
4/11/20,1
4/11/20,-1
4/11/20,-1
4/11/20,1
4/11/20,1
4/11/20,0
4/11/20,1
4/11/20,-1
4/12/20,0
4/12/20,1
4/12/20,1
4/12/20,1
4/12/20,1
4/12/20,-1
4/12/20,0
4/13/20,0
4/13/20,0
4/13/20,-1
4/13/20,1
4/13/20,1
4/13/20,0
4/13/20,1
4/14/20,0
4/14/20,0
4/14/20,1
4/14/20,1
4/15/20,1
4/16/20,1
4/16/20,-1
4/16/20,0
4/16/20,0
4/16/20,1
4/16/20,1
4/16/20,0
4/16/20,1
4/16/20,0
4/16/20,0
4/16/20,-1
4/16/20,1
4/16/20,0
4/16/20,1
4/16/20,1
4/16/20,1
4/16/20,-1
4/16/20,0
4/16/20,0
4/16/20,0
4/16/20,0
4/16/20,0
4/16/20,0
4/16/20,-1
4/16/20,0
4/16/20,1
4/16/20,1
4/16/20,0
4/16/20,1
4/16/20,0
4/16/20,-1
4/16/20,0
4/16/20,1
4/16/20,0
4/16/20,1
4/16/20,-1
4/16/20,1
4/16/20,1
4/16/20,1
4/16/20,0
4/16/20,1
4/16/20,1
4/16/20,1
4/16/20,1
4/16/20,-1
4/16/20,0
4/16/20,-1
4/16/20,1
4/16/20,0
4/16/20,1
4/16/20,-1
4/16/20,0
4/16/20,1
4/16/20,1
4/16/20,0
4/16/20,0
4/16/20,1
4/17/20,-1
4/17/20,0
4/17/20,0
4/17/20,1
4/17/20,0
4/17/20,0
4/17/20,0
4/17/20,1
4/17/20,-1
4/18/20,1
4/18/20,0
4/18/20,1
4/18/20,0
4/18/20,1
4/18/20,1
4/18/20,-1
4/18/20,0
4/18/20,-1
4/18/20,0
4/18/20,1
4/18/20,0
4/18/20,0
4/18/20,1
4/18/20,0
4/18/20,1
4/18/20,0
4/19/20,1
4/19/20,1
4/19/20,1
4/19/20,0
4/19/20,1
4/19/20,0
4/19/20,0
4/19/20,1
4/19/20,1
4/19/20,0
4/19/20,0
4/19/20,0
4/19/20,1
4/19/20,-1
4/20/20,1
4/20/20,1
4/20/20,1
4/20/20,0
4/20/20,0
4/21/20,1
4/21/20,1
4/21/20,0
4/21/20,1
4/21/20,-1
4/21/20,0
4/21/20,0
4/21/20,1
4/22/20,0
4/22/20,0
4/22/20,1
4/22/20,1
4/22/20,0
4/22/20,1
4/22/20,1
4/22/20,-1
4/22/20,1
4/22/20,-1
4/22/20,-1
4/22/20,1
4/22/20,1
4/22/20,0
4/22/20,1
4/22/20,1
4/22/20,-1
4/22/20,1
4/22/20,-1
4/23/20,0
4/23/20,1
4/23/20,1
4/23/20,0
4/23/20,1
4/23/20,1
4/23/20,0
4/23/20,-1
4/23/20,1
4/23/20,0
4/23/20,1
4/23/20,1
4/23/20,1
4/23/20,0
4/23/20,1
4/23/20,1
4/23/20,1
4/23/20,0
4/23/20,0
4/23/20,1
4/24/20,1
4/24/20,0
4/24/20,-1
4/24/20,0
4/24/20,-1
4/24/20,0
4/24/20,1
4/24/20,0
4/24/20,-1
4/24/20,-1
4/24/20,0
4/24/20,0
4/24/20,1
4/24/20,1
4/24/20,0
4/24/20,0
4/25/20,1
4/25/20,0
4/25/20,1
4/25/20,0
4/25/20,1
4/25/20,1
4/25/20,0
4/25/20,1
4/25/20,1
4/25/20,1
4/25/20,1
4/25/20,0
4/25/20,0
4/25/20,1
4/25/20,1
4/25/20,1
4/25/20,1
4/25/20,1
4/25/20,0
4/25/20,0
4/25/20,1
4/25/20,1
4/26/20,1
4/26/20,0
4/26/20,1
4/26/20,1
4/26/20,1
4/26/20,1
4/26/20,0
4/26/20,1
4/26/20,0
4/26/20,0
4/26/20,1
4/26/20,-1
4/26/20,-1
4/27/20,1
4/27/20,0
4/27/20,0
4/27/20,0
4/27/20,1
4/27/20,1
4/27/20,0
4/27/20,0
4/27/20,1
4/27/20,1
4/27/20,1
4/27/20,0
4/27/20,1
4/27/20,0
4/27/20,1
4/27/20,0
4/27/20,0
4/27/20,-1
4/27/20,0
4/27/20,0
4/27/20,1
4/27/20,-1
4/27/20,0
4/27/20,1
4/28/20,0
4/29/20,1
4/29/20,0
4/29/20,-1
4/29/20,1
4/29/20,0
4/29/20,1
4/29/20,0
4/29/20,1
4/29/20,0
4/30/20,-1
4/30/20,1
4/30/20,-1
4/30/20,-1
4/30/20,1
4/30/20,0
4/30/20,0
4/30/20,0
4/30/20,0
4/30/20,0
4/30/20,-1
4/30/20,0
4/30/20,1
4/30/20,0
4/30/20,-1
4/30/20,0
4/30/20,0
5/1/20,0
5/1/20,0
5/1/20,0
5/1/20,0
5/1/20,0
5/1/20,1
5/1/20,0
5/1/20,1
5/1/20,0
5/1/20,0
5/1/20,1
5/1/20,-1
5/1/20,-1
5/1/20,-1
5/1/20,1
5/1/20,1
5/1/20,0
5/1/20,0
5/1/20,0
5/1/20,1
5/1/20,0
5/1/20,-1
5/1/20,1
5/1/20,1
5/1/20,0
5/1/20,0
5/1/20,0
5/1/20,1
5/2/20,-1
5/2/20,1
5/2/20,0
5/2/20,0
5/2/20,1
5/2/20,0
5/2/20,1
5/2/20,1
5/2/20,1
5/2/20,0
5/2/20,1
5/2/20,1
5/2/20,1
5/3/20,0
5/3/20,1
5/3/20,1
5/3/20,1
5/3/20,1
5/3/20,1
5/3/20,1
5/3/20,1
5/3/20,1
5/3/20,1
5/4/20,0
5/4/20,-1
5/4/20,1
5/4/20,1
5/4/20,0
5/4/20,0
5/4/20,1
5/4/20,1
5/4/20,0
5/4/20,1
5/4/20,1
5/4/20,-1
5/4/20,1
5/4/20,0
5/4/20,0
5/4/20,0
5/4/20,0
5/4/20,-1
5/5/20,1
5/5/20,1
5/5/20,0
5/5/20,-1
5/5/20,1
5/5/20,1
5/5/20,-1
5/5/20,1
5/5/20,0
5/5/20,-1
5/5/20,-1
5/5/20,-1
5/5/20,0
5/5/20,0
5/5/20,-1
5/5/20,1
5/5/20,0
5/5/20,0
5/5/20,0
5/5/20,1
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,-1
5/6/20,0
5/6/20,1
5/6/20,0
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,1
5/6/20,-1
5/6/20,1
5/6/20,-1
5/7/20,0
5/7/20,1
5/7/20,-1
5/7/20,1
5/7/20,-1
5/7/20,0
5/7/20,0
5/7/20,1
5/7/20,0
5/7/20,0
5/7/20,1
5/7/20,1
5/7/20,1
5/7/20,-1
5/7/20,-1
5/7/20,-1
5/7/20,-1
